topic_id,search_term,title,summary,keywords,published_date,link,source,sentiment,polarity,scraped_at
1,private credit,BDC Weekly Review: Private Credit Shorts Are Trying To Squeeze Through The BDC Market - Seeking Alpha,"I am not receiving compensation for it (other than from Seeking Alpha).
I have no business relationship with any company whose stock is mentioned in this article.
Any views or opinions expressed above may not reflect those of Seeking Alpha as a whole.
Seeking Alpha is not a licensed securities dealer, broker or US investment adviser or investment bank.
Our analysts are third party authors that include both professional investors and individual investors who may not be licensed or certified by any institute or regulatory body.","bdc, weekly, review, private, credit, shorts, squeeze, market, seeking, alpha, investment, disclosure, stock, mentioned, article, opinions, licensed, investors, analyst’s, option, similar, derivative, position, companies, plans, initiate, positions, 72, hours, wrote, expresses, receiving, compensation, business, relationship",2025-11-01,https://seekingalpha.com/article/4836687-bdc-weekly-review-private-credit-shorts-are-trying-to-squeeze-through-the-bdc-market,seeking alpha,positive,0.3119,2025-11-02 09:26:17
1,private credit,Credit Fraud Fears Loom After BlackRock’s HPS Zeros Out Bad Loan - Bloomberg,"The ink was barely dry on BlackRock Inc.’s $12 billion acquisition of HPS Investment Partners when executives at the private credit giant realized one of their investments had gone horribly wrong.
HPS had teamed up with BNP Paribas SA to provide hundreds of millions of dollars to a group of companies run by little-known businessman Bankim Brahmbhatt, according to people with knowledge of the matter.
HPS had taken the riskiest portion of the financing — which was purportedly backed by receivables from some of the world’s biggest telecommunications providers — eyeing double-digit returns, said the people, who asked not to be identified citing private information.","fraud, fears, loom, blackrock’s, zeros, bad, loan, hps, credit, private, ink, barely, dry, blackrock, s, 12, billion, acquisition, investment, partners, executives, giant, realized, investments, horribly, wrong, teamed, bnp, paribas, provide, hundreds, millions, dollars, group, companies",2025-11-01,https://www.bloomberg.com/news/articles/2025-11-01/credit-fraud-fears-loom-after-blackrock-s-hps-zeros-out-bad-loan,bloomberg,negative,-0.4389,2025-11-03 09:33:51
1,private credit,The Ranks of Corporate Zombies Are Growing: Credit Weekly - Bloomberg,"As Halloween monsters of all stripes flood neighborhoods in search of candy and parties this weekend, credit markets are seeing the resurgence of a different type of zombie.
The tally of “zombie companies” in the US that aren’t earning enough to cover their interest expenses stands at the highest since early 2022, with almost 100 gaining the designation in October.
The main reason: Companies that gorged on debt at near-zero interest rates in the pandemic era have since been hurt by tariffs and higher funding costs.","ranks, corporate, zombies, growing, weekly, credit, zombie, companies, interest, halloween, monsters, stripes, flood, neighborhoods, search, candy, parties, weekend, markets, resurgence, type, tally, aren’t, earning, cover, expenses, stands, highest, early, 2022, 100, gaining, designation, main, reason",2025-11-01,https://www.bloomberg.com/news/articles/2025-11-01/the-ranks-of-corporate-zombies-are-growing-credit-weekly,bloomberg,positive,0.7926,2025-11-03 09:37:05
