topic_id,search_term,title,summary,keywords,published_date,link,source,sentiment,polarity,scraped_at
1,private credit,The new crop of rating agencies behind the private credit boom - Financial Times,"Access to eight surprising articles a day, hand-picked by FT editors.
For seamless reading, access content via the FT Edit page on FT.com and receive the FT Edit newsletter.
Essential digital access to quality FT journalism on any device.
Pay a year upfront and save 20%.","ft, crop, rating, agencies, private, credit, boom, access, edit, surprising, articles, day, hand-picked, editors, seamless, reading, content, page, receive, newsletter, essential, digital, quality, journalism, device, pay, upfront, save, 20",2025-11-10,https://www.ft.com/content/213c8c74-33e2-4a31-9633-38153f25fa78,financial times,positive,0.0747,2025-11-10 09:32:39
1,private credit,Credit cockroaches revisited - Financial Times,"A required part of this site couldn’t load.
This may be due to a browser extension, network issues, or browser settings.
Please check your connection, disable any ad blockers, or try using a different browser.","client, challenge, browser, required, site, couldn’t, load, extension, network, issues, settings, check, connection, disable, ad, blockers",2025-11-10,https://www.ft.com/content/ef8be464-7697-45d3-bb0f-854ed8a977f7,financial times,neutral,0.031,2025-11-11 09:31:24
5, tokenized equity,xStocks vs. Ondo: Tokenized Stock Listings by Exchange - Yahoo Finance,"With more exchange listings, xStocks has greater potential for retail adoption.
With both products competing for users in a rapidly expanding market, crypto exchange listings are critical drivers of adoption.
Comparing xStocks and Ondo Global Markets Both launched in 2025, xStocks and Ondo have much in common.
Ondo Global Markets vs. xStock: Exchange Listings Exchange Ondo Global Markets xStocks Bitget ✔ 🗙 Bitget Onchain ✔ ✔ Bybit 🗙 ✔ Cake Wallet 🗙 ✔ Gate.io ✔ ✔ Kraken 🗙 ✔ KuCoin 🗙 ✔ LBank 🗙 ✔ MEXC 🗙 ✔ Jupiter 🗙 ✔ PancakeSwap ✔ 🗙 Assetera 🗙 ✔ INX 🗙 ✔ BX Digital ✔ 🗙 Ondo Global Markets ✔ 🗙 Total Value Locked on Tokenized Stock Platforms Despite having a three-month head start and more exchange exposure, xStocks has fallen behind Ondo Global Markets’ Total Value Locked (TVL).
The post xStocks vs. Ondo: Tokenized Stock Listings by Exchange appeared first on ccn.com.","xstocks, ondo, tokenized, exchange, listings, stock, ✔, 🗙, global, markets, backed, stocks, exchanges, ondo’s, liquidity, crypto, listed, tokens, market, underlying, equities, bnb, assets, finance, digital, tvl, finance’s, retail, adoption, offering, designed, platforms, offer, exposure, products",2025-11-10,https://finance.yahoo.com/news/xstocks-vs-ondo-tokenized-asset-132806058.html,yahoo finance,positive,0.4828,2025-11-11 09:44:20
1,private credit,Duke Energy considers private credit in potential first for utilities - Bloomberg (DUK:NYSE) - Seeking Alpha,"Duke Energy (DUK) has talked with private credit providers about financing parts of its $87 billion capital investment plan, CFO Brian Savoy told Bloomberg on Monday, in what would be a first for utilities.
While traditional equity and debt financing","considers, potential, nyse, duke, energy, duk, private, credit, bloomberg, utilities, financing, talked, providers, parts, 87, billion, capital, investment, plan, cfo, brian, savoy, told, traditional, equity, debt",2025-11-10,https://seekingalpha.com/news/4519648-duke-energy-considers-private-credit-in-potential-first-for-utilities---bloomberg,seeking alpha,negative,-0.3171,2025-11-13 09:36:28
