topic_id,search_term,title,summary,keywords,published_date,link,source,sentiment,polarity,scraped_at
6, non-bank lending,Shadow banks are not outside the banking system - Financial Times,"A required part of this site couldn’t load.
This may be due to a browser extension, network issues, or browser settings.
Please check your connection, disable any ad blockers, or try using a different browser.","client, challenge, browser, required, site, couldn’t, load, extension, network, issues, settings, check, connection, disable, ad, blockers",2025-10-02,https://www.ft.com/content/7c707670-ec41-4ae4-9b61-c60d77b89544,financial times,neutral,0.031,2025-10-02 09:46:40
4, bonds tokenization,LunarCrush Data: XRP Conversation Surges on Ondo OUSG Launch – Sustainable or Spike? - Yahoo Finance,"There are also leadership changes to consider.
Ripple’s long-serving Chief Technology Officer, David Schwartz, has stepped back from his day-to-day role and will serve as CTO Emeritus, while remaining on the board.
His continued presence may reassure the community at a time when the company is positioning itself within more traditional financial networks.
Source: lunarcrush.com/discover/xrp Crypto for the Long Run Whether institutional adoption follows is still unclear in volume data from OUSG transactions on the ledger.
It shows how new use cases, especially those connected to tokenized versions of traditional securities, can ripple outward into unexpected corners of the crypto economy.","data, conversation, surges, ondo, ousg, launch, sustainable, spike, lunarcrush, xrp, crypto, traditional, leadership, ripple’s, long-serving, chief, technology, officer, david, schwartz, stepped, day-to-day, role, serve, cto, emeritus, remaining, board, continued, presence, reassure, community, company, positioning, networks",2025-10-02,https://finance.yahoo.com/news/lunarcrush-data-xrp-conversation-surges-182116510.html,yahoo finance,positive,0.3204,2025-10-03 09:40:04
3, stock tokenization,FG Nexus and Securitize Enter into Agreement to Natively Tokenize FG Nexus Public Shares on Ethereum - Reuters,"FG Nexus is among the first NASDAQ-listed companies to offer shareholders the choice to tokenize its shares on Ethereum, with such tokenized shares conferring the same rights as traditional shares.
Additionally, FG Nexus will be the first to tokenize a dividend-paying, exchange-listed perpetual preferred share (Nasdaq: FGNXP).
""FG Nexus’ agreement with Securitize positions the Company at the forefront of financial innovation and demonstrates our commitment to leveraging cutting-edge solutions that benefit our investor community,"" said Kyle Cerminara, co-founder, chairman and CEO of FG Nexus.
The tokenization of FG Nexus shares will utilize Securitize’s fully-regulated stack and infrastructure.
We’re excited to lead this migration of equities onchain with Securitize.” About FG Nexus FG Nexus Inc. (Nasdaq: FGNX, FGNXP) is on the Ethereum Standard, and singularly focused on becoming the largest corporate holder of ETH in the world by an order of magnitude.","fg, nexus, enter, agreement, natively, public, securitize, shares, tokenize, ethereum, statements, forward-looking, securities, company’s, company, assets, markets, eth, risks, future, results, nasdaq, implement, tokenization, potential, opens, tab, fgnxp, tokenizing, stock, blockchain, tokenized, market, s, onchain",2025-10-02,https://www.reuters.com/press-releases/fg-nexus-securitize-tokenize-public-shares-ethereum-2025-10-02/,reuters,positive,0.9391,2025-10-04 09:32:25
3, stock tokenization,Robinhood's Tenev says tokenization will 'eat' the financial system (HOOD:NASDAQ) - Seeking Alpha,"Robinhood's Tenev says tokenization will 'eat' the financial system Oct. 02, 2025 10:10 AM ETRobinhood Markets, Inc. (HOOD) StockNDAQBy: Liz Kiesche, SA News Editor Comments (62) ""Tokenization is a freight train, and it will eat the entire financial system,"" said Robinhood Markets (NASDAQ:HOOD) Chairman and CEO Vlad Tenev.
But that doesn't mean it will crush traditional financial players.
""I think the financial system will be largely Quick Insights Tokenization is expected to transform the financial system, with traditional players adapting rather than being crushed by the shift to on-chain assets, starting outside the U.S. where adoption may be quicker.
Robinhood anticipates tokenizing assets like real estate and art, making typically illiquid and exclusive assets more accessible to the mass market and reducing transaction fees.
Close Related Stocks SymbolLast Price% ChgHOOD--Robinhood Markets, Inc. Trending Analysis Trending News","system, tokenization, hood, tenev, eat, robinhood's, nasdaq, markets, robinhood, assets, traditional, players, s, adoption, market, symbollast, price, trending, oct, 02, 2025, etrobinhood, stockndaqby, liz, kiesche, editor, comments, 62, freight, train, entire, chairman, ceo, vlad, crush",2025-10-02,https://seekingalpha.com/news/4501279-robinhoods-tenev-says-tokenization-will-eat-the-financial-system,seeking alpha,positive,0.1779,2025-10-04 09:32:41
2,securities tokenization,US Stock Market Ready for Instant Tokenization with Alpaca’s Newly Launched Network - Morningstar,"Designed as open and token-agnostic, Alpaca’s “Instant Tokenization Network” allows builders and institutions to bridge assets to blockchains, and back again–even outside market hours.
Alpaca's Instant Tokenization Network leads with adoption by global partners including Backed (xStocks), Dinari, DRW, and Ondo Finance.
With today’s launch of its Instant Tokenization Network, Alpaca aims to bring the same benefits to tokenized stocks.
Instant Tokenization Network debuts with Solana as its exclusive settlement chain, with support for settlement to other chains in the near future.
Alpaca's Instant Tokenization Network is owned and developed by AlpacaDB, Inc. and Alpaca Crypto LLC Additional geographic restrictions may apply for tokenization services based on local regulatory requirements.","stock, ready, newly, launched, tokenization, network, instant, market, alpaca’s, alpaca, tokenized, crypto, assets, underlying, infrastructure, stocks, liquidity, securities, markets, llc, in-kind, traditional, including, services, alpacadb, redemption, backed, drw, ondo, finance, access, minting, 24, alpaca's, global",2025-10-02,https://www.morningstar.com/news/business-wire/20251001526080/us-stock-market-ready-for-instant-tokenization-with-alpacas-newly-launched-network,morningstar,positive,0.5775,2025-10-07 09:33:13
