topic_id,search_term,title,summary,keywords,published_date,link,source,sentiment,polarity,scraped_at
1,private credit,CEC ENTERTAINMENT CLOSES $625 MILLION PRIVATE CREDIT TERM LOAN AGREEMENT and also amends its existing revolving credit facility - PR Newswire,"IRVING, Texas, Sept. 26, 2025 /PRNewswire/ -- CEC Entertainment, LLC (""CEC Entertainment"" or the ""Company""), a nationally recognized leader in family entertainment and dining, successfully closed a $625 million private credit term loan facility and amended its existing revolving credit agreement.
The amendment to the Company's existing revolving credit agreement reduces the total commitment from the revolving lenders from $100 million to $75 million.
The Company's revolving credit facility continues to have a maturity date of August 9, 2029 and ranks pari passu with the new term loan facility.
About CEC Entertainment CEC Entertainment is the owner, operator and franchisor of family entertainment and dining centers under the names ""Chuck E. Cheese"" (""Where A Kid Can Be A Kid"") and ""Peter Piper Pizza"" (""The Fun is Baked In"") in a total of 45 states and 17 foreign countries and territories.
SOURCE CEC Entertainment","credit, closes, 625, private, amends, facility, entertainment, revolving, term, loan, cec, existing, million, agreement, company's, date, total, maturity, stated, states, venues, 26, 2025, family, dining, cash, balance, sheet, outstanding, including, transaction, capital, debt, remains, positive",2025-09-26,https://www.prnewswire.com/news-releases/cec-entertainment-closes-625-million-private-credit-term-loan-agreement-and-also-amends-its-existing-revolving-credit-facility-302568494.html,pr newswire,positive,0.0662,2025-09-27 09:22:57
1,private credit,Lifting the hood on First Brands’ super high-yield SPE debt - Financial Times,"A required part of this site couldn’t load.
This may be due to a browser extension, network issues, or browser settings.
Please check your connection, disable any ad blockers, or try using a different browser.","client, challenge, browser, required, site, couldn’t, load, extension, network, issues, settings, check, connection, disable, ad, blockers",2025-09-26,https://www.ft.com/content/fa10cd1f-6b4a-4e21-b258-6340c767a3fb,financial times,neutral,0.031,2025-10-02 09:31:35
