topic_id,search_term,title,summary,keywords,published_date,link,source,sentiment,polarity,scraped_at
1,private credit,Salie Mae Enters Multi-Year Private Credit Partnership With KKR - Yahoo Finance,"Sallie Mae SLM has announced a multi-year partnership with KKR & Co. KKR, marking its entry into the growing private credit market.
Through this multi-year partnership, KKR will acquire an initial seed portfolio of private education loans from Sallie Mae, followed by purchases of at least $2 billion in newly originated private education loans each year over an initial three-year period.
The partnership with KKR signals a clear pivot toward the fast-growing private credit market, where institutional demand for alternative lending products continues to rise.
Our Take on SLM-KKR Partnership The partnership with KKR positions Sallie Mae to strengthen long-term growth potential.
The collaboration will roll out private market access, Target-Date Strategies (mid-2026), model portfolios, multi-asset offerings and advisor-managed accounts.","salie, enters, partnership, kkr, private, mae, credit, multi-year, zacks, sallie, slm, market, free, report, investment, research, rowe, retirement, stock, analysis, education, loans, growth, access, serve, students, capital, rank, price, goldman, growing, initial, portfolio, billion, loan",2025-11-13,https://finance.yahoo.com/news/salie-mae-enters-multi-private-184100328.html,yahoo finance,positive,0.7817,2025-11-14 09:31:01
2,securities tokenization,Vietnam's Digital Asset Pioneer Advances Real-World Asset Tokenization Strategy with OnusChain Partnership - GlobeNewswire,"From Investment Firm to Digital Asset Ecosystem HVA's trajectory reflects Vietnam's broader digital finance evolution.
Seven years later, HVA has become Vietnam's most comprehensive digital asset ecosystem—operating exchanges, banking infrastructure, investment platforms, and blockchain technology.
This manifests in HVA's dual-axis business: digital technology infrastructure (exchanges, neo-banking, wallets, data analytics) combined with actively managed digital asset portfolios featuring transparent performance disclosure.
Regional Infrastructure Consolidation The partnership emerges amid broader Southeast Asian digital asset infrastructure consolidation.
The firm maintains membership in Vietnam Blockchain and Digital Asset Association and Vietnam Digital Asset Alliance.","asset, pioneer, advances, strategy, digital, onuschain, vietnam's, tokenization, partnership, real-world, infrastructure, hva, blockchain, regulatory, technology, investment, assets, strategic, finance, company, platform, hva's, integration, institutional, 2025, firm, platforms, ecosystem, southeast, vietnam, management, users, transparent, onus, da",2025-11-13,https://www.globenewswire.com/news-release/2025/11/13/3187645/0/en/Vietnam-s-Digital-Asset-Pioneer-Advances-Real-World-Asset-Tokenization-Strategy-with-OnusChain-Partnership.html,globenewswire,positive,0.4488,2025-11-14 09:36:14
4, bonds tokenization,Tokenization Platform Libeara Partners With GFX to Drive Pan-African Financial Inclusion - Yahoo Finance,"Regulatory Foundations Strengthening in Ghana Ghana’s regulators are laying the groundwork for innovations like this to scale.
The forthcoming Virtual Asset Services Providers (VASP) Bill will create a comprehensive framework for overseeing digital asset activities and tokenized instruments.
Joint supervision by the Bank of Ghana and the Securities and Exchange Commission of Ghana will ensure that innovation unfolds in a safe, controlled, and investor-protected environment.
Until the new regime takes effect, the Bank of Ghana’s regulatory sandbox offers a supervised space for testing blockchain-based financial services under real market conditions—allowing firms like GFX and Libeara to validate new models responsibly.
Crypto transactions in Ghana totaled $3 billion between July 2023 and June 2024, representing strong economic activity occurring beyond traditional banking oversight.","tokenization, platform, libeara, partners, gfx, drive, pan-african, inclusion, ghana, bank, regulatory, ghana’s, virtual, asset, services, bill, digital, crypto, foundations, strengthening, regulators, laying, groundwork, innovations, scale, forthcoming, providers, vasp, create, comprehensive, framework, overseeing, activities, tokenized, instruments",2025-11-13,https://finance.yahoo.com/news/tokenization-platform-libeara-partners-gfx-164548109.html,yahoo finance,positive,0.7503,2025-11-15 09:36:56
